,id,imdb_id,title,vote_average
0,157336,tt0816692,Interstellar,8.417
1,324857,tt4633694,Spider-Man: Into the Spider-Verse,8.404
2,1891,tt0080684,The Empire Strikes Back,8.4
3,27205,tt1375666,Inception,8.364
4,18491,tt0169858,Neon Genesis Evangelion: The End of Evangelion,8.339
5,105,tt0088763,Back to the Future,8.314
6,283566,tt2458948,Evangelion: 3.0+1.0 Thrice Upon a Time,8.3
7,618344,tt11079148,Justice League Dark: Apokolips War,8.263
8,299534,tt4154796,Avengers: Endgame,8.263
9,299536,tt4154756,Avengers: Infinity War,8.255
